"Titre de tracé : 21330399"
"#","Date","Heure, GMT-03:00","Temp., °C (LGR S/N: 21330399, SEN S/N: 21330399)","Conductance spécifique, μS/cm (LGR S/N: 21330399)","Salinité, ppt (LGR S/N: 21330399)"
145,02/02/23,00:46:10,24.72,3253.4,1.6984
146,02/02/23,00:51:10,24.76,5868.8,3.1790
147,02/02/23,00:56:10,24.69,2929.6,1.5203
148,02/02/23,01:01:10,24.70,4818.7,2.5766
149,02/02/23,01:06:10,24.64,1672.9,0.8433
150,02/02/23,01:11:10,24.60,4834.4,2.5856
151,02/02/23,01:16:10,24.56,4399.1,2.3387
152,02/02/23,01:21:10,24.55,4390.9,2.3341
153,02/02/23,01:26:10,24.60,2711.0,1.4008
154,02/02/23,01:31:10,24.75,3931.5,2.0757
155,02/02/23,01:36:10,24.75,2524.0,1.2991
156,02/02/23,01:41:10,24.64,3504.4,1.8375
157,02/02/23,01:46:10,24.45,2501.7,1.2870
158,02/02/23,01:51:10,24.40,3219.8,1.6799
159,02/02/23,01:56:10,24.49,3013.1,1.5661
160,02/02/23,02:01:10,24.57,2783.3,1.4403
161,02/02/23,02:06:10,24.52,2599.4,1.3400
162,02/02/23,02:11:10,24.50,2452.8,1.2605
163,02/02/23,02:16:10,24.45,1827.7,0.9252
164,02/02/23,02:21:10,24.40,1025.9,0.5065
165,02/02/23,02:26:10,24.50,1032.5,0.5098
166,02/02/23,02:31:10,24.49,2264.5,1.1588
167,02/02/23,02:36:10,24.31,1044.7,0.5161
168,02/02/23,02:41:10,24.26,2207.5,1.1282
169,02/02/23,02:46:10,24.19,1283.6,0.6394
170,02/02/23,02:51:10,24.17,1167.4,0.5793
171,02/02/23,02:56:10,24.14,1674.9,0.8443
172,02/02/23,03:01:10,24.15,1057.0,0.5224
173,02/02/23,03:06:10,24.10,1126.1,0.5580
174,02/02/23,03:11:10,24.16,1377.2,0.6881
175,02/02/23,03:16:10,24.09,1177.7,0.5846
176,02/02/23,03:21:10,24.01,1184.6,0.5882
177,02/02/23,03:26:10,24.13,1300.3,0.6481
178,02/02/23,03:31:10,24.24,1149.0,0.5698
179,02/02/23,03:36:10,24.16,1056.3,0.5221
180,02/02/23,03:41:10,24.17,1294.2,0.6449
181,02/02/23,03:46:10,24.22,1209.2,0.6009
182,02/02/23,03:51:10,24.30,1059.2,0.5236
183,02/02/23,03:56:10,24.16,1262.3,0.6284
184,02/02/23,04:01:10,24.14,1172.5,0.5819
185,02/02/23,04:06:10,24.08,1056.3,0.5221
186,02/02/23,04:11:10,24.21,1086.0,0.5373
187,02/02/23,04:16:10,24.17,1255.3,0.6247
188,02/02/23,04:21:10,24.24,1086.4,0.5375
189,02/02/23,04:26:10,24.30,1075.2,0.5317
190,02/02/23,04:31:10,24.16,1063.4,0.5257
191,02/02/23,04:36:10,24.05,1153.5,0.5721
192,02/02/23,04:41:10,23.99,1136.5,0.5633
193,02/02/23,04:46:10,24.01,1101.6,0.5453
194,02/02/23,04:51:10,23.96,1088.3,0.5385
195,02/02/23,04:56:10,24.01,1100.0,0.5445
196,02/02/23,05:01:10,23.99,1126.5,0.5582
197,02/02/23,05:06:10,24.00,1203.5,0.5979
198,02/02/23,05:11:10,24.03,1210.6,0.6016
199,02/02/23,05:16:10,24.03,1152.8,0.5717
200,02/02/23,05:21:10,24.03,1130.6,0.5603
201,02/02/23,05:26:10,23.96,1132.8,0.5614
202,02/02/23,05:31:10,23.99,1194.1,0.5931
203,02/02/23,05:36:10,23.94,1184.1,0.5879
204,02/02/23,05:41:10,23.93,1231.6,0.6124
205,02/02/23,05:46:10,24.04,1234.5,0.6140
206,02/02/23,05:51:10,24.05,1243.7,0.6187
207,02/02/23,05:56:10,24.01,1251.6,0.6228
208,02/02/23,06:01:10,24.04,1231.6,0.6125
209,02/02/23,06:06:10,24.00,1231.5,0.6124
210,02/02/23,06:11:10,23.96,1225.2,0.6091
211,02/02/23,06:16:10,23.90,1259.4,0.6269
212,02/02/23,06:21:10,23.94,1277.1,0.6360
213,02/02/23,06:26:10,24.00,1288.6,0.6420
214,02/02/23,06:31:10,23.89,1310.8,0.6535
215,02/02/23,06:36:10,23.96,1331.0,0.6641
216,02/02/23,06:41:10,24.00,1325.9,0.6614
217,02/02/23,06:46:10,23.81,1294.8,0.6452
218,02/02/23,06:51:10,23.94,1295.8,0.6458
219,02/02/23,06:56:10,23.95,1334.8,0.6660
220,02/02/23,07:01:10,23.76,1342.3,0.6699
221,02/02/23,07:06:10,23.84,1349.2,0.6735
222,02/02/23,07:11:10,23.93,1366.1,0.6823
223,02/02/23,07:16:10,23.99,1375.8,0.6874
224,02/02/23,07:21:10,24.01,1337.6,0.6675
225,02/02/23,07:26:10,24.08,1305.1,0.6506
226,02/02/23,07:31:10,24.03,1294.0,0.6448
227,02/02/23,07:36:10,24.08,1287.0,0.6412
228,02/02/23,07:41:10,24.15,1272.2,0.6335
229,02/02/23,07:46:10,24.22,1273.1,0.6340
230,02/02/23,07:51:10,24.36,1246.5,0.6202
231,02/02/23,07:56:10,24.52,1241.9,0.6178
232,02/02/23,08:01:10,24.71,1232.7,0.6130
233,02/02/23,08:06:10,25.12,1203.1,0.5977
234,02/02/23,08:11:10,25.32,1192.7,0.5923
235,02/02/23,08:16:10,25.32,1203.8,0.5981
236,02/02/23,08:21:10,25.17,1214.0,0.6033
237,02/02/23,08:26:10,25.12,1214.6,0.6037
238,02/02/23,08:31:10,25.17,1288.1,0.6417
239,02/02/23,08:36:10,25.07,1322.3,0.6595
240,02/02/23,08:41:10,25.22,1361.7,0.6801
241,02/02/23,08:46:10,25.43,1396.6,0.6982
242,02/02/23,08:51:10,25.54,1401.9,0.7010
243,02/02/23,08:56:10,25.61,1383.7,0.6915
244,02/02/23,09:01:10,25.64,1398.5,0.6992
245,02/02/23,09:06:10,25.69,1431.0,0.7162
246,02/02/23,09:11:10,25.86,1455.5,0.7290
247,02/02/23,09:16:10,25.93,1466.3,0.7347
248,02/02/23,09:21:10,26.09,1480.0,0.7418
249,02/02/23,09:26:10,26.38,1513.4,0.7594
250,02/02/23,09:31:10,26.59,1493.9,0.7491
251,02/02/23,09:36:10,26.80,1451.5,0.7269
252,02/02/23,09:41:10,26.96,1399.0,0.6995
253,02/02/23,09:46:10,27.10,1336.9,0.6671
254,02/02/23,09:51:10,27.15,1248.8,0.6213
255,02/02/23,09:56:10,27.51,1206.1,0.5993
256,02/02/23,10:01:10,27.71,1149.5,0.5700
257,02/02/23,10:06:10,27.97,1088.1,0.5384
258,02/02/23,10:11:10,28.08,1024.2,0.5056
259,02/02/23,10:16:10,28.17,953.7,0.4696
260,02/02/23,10:21:10,27.96,871.5,0.4277
261,02/02/23,10:26:10,28.20,825.0,0.4042
262,02/02/23,10:31:10,28.23,777.9,0.3804
263,02/02/23,10:36:10,27.57,710.3,0.3464
264,02/02/23,10:41:10,27.82,734.5,0.3586
265,02/02/23,10:46:10,28.27,809.0,0.3961
266,02/02/23,10:51:10,28.36,818.9,0.4011
267,02/02/23,10:56:10,28.78,855.8,0.4198
268,02/02/23,11:01:10,29.21,857.1,0.4204
269,02/02/23,11:06:10,29.44,818.7,0.4010
270,02/02/23,11:11:10,29.42,782.5,0.3827
271,02/02/23,11:16:10,29.65,727.3,0.3549
272,02/02/23,11:21:10,29.69,678.1,0.3303
273,02/02/23,11:26:10,30.00,645.8,0.3142
274,02/02/23,11:31:10,30.15,617.9,0.3002
275,02/02/23,11:36:10,30.67,588.3,0.2855
276,02/02/23,11:41:10,30.79,558.2,0.2706
277,02/02/23,11:46:10,30.60,506.9,0.2453
278,02/02/23,11:51:10,30.44,447.0,0.2159
279,02/02/23,11:56:10,30.72,408.6,0.1972
280,02/02/23,12:01:10,31.11,379.4,0.1830
281,02/02/23,12:06:10,30.90,354.2,0.1708
282,02/02/23,12:11:10,31.21,322.3,0.1555
283,02/02/23,12:16:10,31.68,313.5,0.1513
284,02/02/23,12:21:10,31.56,289.6,0.1398
285,02/02/23,12:26:10,31.65,267.5,0.1293
286,02/02/23,12:31:10,32.26,252.8,0.1224
287,02/02/23,12:36:10,32.06,236.7,0.1148
288,02/02/23,12:41:10,31.46,193.5,0.0945
289,02/02/23,12:46:10,31.58,167.1,0.0822
290,02/02/23,12:51:10,31.78,144.5,0.0718
291,02/02/23,12:56:10,31.67,117.1,0.0594
292,02/02/23,13:01:10,32.26,113.1,0.0576
293,02/02/23,13:06:10,32.11,108.6,0.0556
294,02/02/23,13:11:10,31.96,103.3,0.0532
295,02/02/23,13:16:10,31.92,105.0,0.0539
296,02/02/23,13:21:10,31.71,111.4,0.0568
297,02/02/23,13:26:10,31.58,127.1,0.0639
298,02/02/23,13:31:10,31.48,147.3,0.0731
299,02/02/23,13:36:10,31.70,164.3,0.0809
300,02/02/23,13:41:10,31.72,168.3,0.0828
301,02/02/23,13:46:10,31.78,167.7,0.0825
302,02/02/23,13:51:10,30.69,96.4,0.0501
303,02/02/23,13:56:10,30.11,123.6,0.0623
304,02/02/23,14:01:10,29.68,146.9,0.0729
305,02/02/23,14:06:10,29.57,157.8,0.0779
306,02/02/23,14:11:10,29.47,159.7,0.0788
307,02/02/23,14:16:10,28.98,130.9,0.0656
308,02/02/23,14:21:10,29.37,167.7,0.0825
309,02/02/23,14:26:10,29.39,165.9,0.0817
310,02/02/23,14:31:10,29.40,164.7,0.0811
311,02/02/23,14:36:10,31.33,7317.4,4.0245
312,02/02/23,14:41:10,33.97,18009.3,10.6316
313,02/02/23,14:46:10,34.27,18326.9,10.8356
314,02/02/23,14:51:10,34.39,18281.0,10.8061
315,02/02/23,14:56:10,34.98,19163.4,11.3748
316,02/02/23,15:01:10,35.63,20161.1,12.0211
317,02/02/23,15:06:10,35.36,19403.2,11.5298
318,02/02/23,15:11:10,34.44,15157.2,8.8172
319,02/02/23,15:16:10,34.55,15157.9,8.8176
320,02/02/23,15:21:10,34.41,16151.0,9.4457
321,02/02/23,15:26:10,34.39,16941.4,9.9485
322,02/02/23,15:31:10,34.58,17973.8,10.6088
323,02/02/23,15:36:10,35.27,19416.1,11.5382
324,02/02/23,15:41:10,35.34,19749.0,11.7537
325,02/02/23,15:46:10,35.06,18841.0,11.1667
326,02/02/23,15:51:10,35.21,18760.3,11.1146
327,02/02/23,15:56:10,35.37,19326.4,11.4801
328,02/02/23,16:01:10,35.18,19490.3,11.5862
329,02/02/23,16:06:10,34.55,17844.6,10.5260
330,02/02/23,16:11:10,34.29,18022.0,10.6398
331,02/02/23,16:16:10,33.56,17913.5,10.5701
332,02/02/23,16:21:10,34.52,20271.1,12.0927
333,02/02/23,16:26:10,34.15,19651.3,11.6904
334,02/02/23,16:31:10,33.66,19724.7,11.7380
335,02/02/23,16:36:10,33.38,19833.5,11.8085
336,02/02/23,16:41:10,32.85,19830.0,11.8062
337,02/02/23,16:46:10,32.21,19837.4,11.8111
338,02/02/23,16:51:10,31.71,19835.5,11.8098
339,02/02/23,16:56:10,31.15,19857.7,11.8242
340,02/02/23,17:01:10,30.80,19838.8,11.8120
341,02/02/23,17:06:10,30.48,19832.5,11.8079
