SP2T 10m SI - CAY2 - 33110 sn:33110 Sonde standard_33110_20220602_163303_H23cm.txt
Cadence d'enregistrement	0,5	s 
  VOIE:1 Profondeur 10m Unité=m
0,022	20/05/2022	09:48:32:440
0,022	20/05/2022	09:48:32:940
0,022	20/05/2022	09:48:33:440
0,022	20/05/2022	09:48:33:940
0,019	20/05/2022	09:48:34:440
0,019	20/05/2022	09:48:34:940
0,019	20/05/2022	09:48:35:440
0,019	20/05/2022	09:48:35:940
0,019	20/05/2022	09:48:36:440
0,019	20/05/2022	09:48:36:940
0,019	20/05/2022	09:48:37:440
0,019	20/05/2022	09:48:37:940
0,019	20/05/2022	09:48:38:440
0,019	20/05/2022	09:48:38:940
0,019	20/05/2022	09:48:39:440
0,019	20/05/2022	09:48:39:940
0,019	20/05/2022	09:48:40:440
0,016	20/05/2022	09:48:40:940
0,016	20/05/2022	09:48:41:440
0,016	20/05/2022	09:48:41:940
0,016	20/05/2022	09:48:42:440
0,016	20/05/2022	09:48:42:940
0,016	20/05/2022	09:48:43:440
0,016	20/05/2022	09:48:43:940
0,016	20/05/2022	09:48:44:440
0,013	20/05/2022	09:48:44:940
0,013	20/05/2022	09:48:45:440
0,013	20/05/2022	09:48:45:940
0,013	20/05/2022	09:48:46:440
0,013	20/05/2022	09:48:46:940
0,013	20/05/2022	09:48:47:440
0,013	20/05/2022	09:48:47:940
0,013	20/05/2022	09:48:48:440
0,013	20/05/2022	09:48:48:940
0,013	20/05/2022	09:48:49:440
0,013	20/05/2022	09:48:49:940
0,013	20/05/2022	09:48:50:440
0,013	20/05/2022	09:48:50:940
0,013	20/05/2022	09:48:51:440
0,013	20/05/2022	09:48:51:940
0,013	20/05/2022	09:48:52:440
0,013	20/05/2022	09:48:52:940
0,016	20/05/2022	09:48:53:440
0,016	20/05/2022	09:48:53:940
0,016	20/05/2022	09:48:54:440
0,016	20/05/2022	09:48:54:940
0,016	20/05/2022	09:48:55:440
0,016	20/05/2022	09:48:55:940
0,016	20/05/2022	09:48:56:440
0,019	20/05/2022	09:48:56:940
0,019	20/05/2022	09:48:57:440
0,022	20/05/2022	09:48:57:940
0,022	20/05/2022	09:48:58:440
0,022	20/05/2022	09:48:58:940
0,022	20/05/2022	09:48:59:440
0,025	20/05/2022	09:48:59:940
0,025	20/05/2022	09:49:00:440
0,025	20/05/2022	09:49:00:940
0,028	20/05/2022	09:49:01:440
0,028	20/05/2022	09:49:01:940
0,028	20/05/2022	09:49:02:440
0,034	20/05/2022	09:49:02:940
0,034	20/05/2022	09:49:03:440
0,034	20/05/2022	09:49:03:940
0,034	20/05/2022	09:49:04:440
0,037	20/05/2022	09:49:04:940
0,037	20/05/2022	09:49:05:440
0,037	20/05/2022	09:49:05:940
0,037	20/05/2022	09:49:06:440
0,037	20/05/2022	09:49:06:940
0,037	20/05/2022	09:49:07:440
0,037	20/05/2022	09:49:07:940
0,037	20/05/2022	09:49:08:440
0,037	20/05/2022	09:49:08:940
0,037	20/05/2022	09:49:09:440
0,037	20/05/2022	09:49:09:940
0,037	20/05/2022	09:49:10:440
0,037	20/05/2022	09:49:10:940
0,037	20/05/2022	09:49:11:440
0,037	20/05/2022	09:49:11:940
0,037	20/05/2022	09:49:12:440
0,037	20/05/2022	09:49:12:940
0,037	20/05/2022	09:49:13:440
0,037	20/05/2022	09:49:13:940
0,037	20/05/2022	09:49:14:440
0,040	20/05/2022	09:49:14:940
0,040	20/05/2022	09:49:15:440
0,040	20/05/2022	09:49:15:940
0,040	20/05/2022	09:49:16:440
0,040	20/05/2022	09:49:16:940
0,040	20/05/2022	09:49:17:440
0,040	20/05/2022	09:49:17:940
0,040	20/05/2022	09:49:18:440
0,040	20/05/2022	09:49:18:940
0,040	20/05/2022	09:49:19:440
0,040	20/05/2022	09:49:19:940
0,040	20/05/2022	09:49:20:440
0,040	20/05/2022	09:49:20:940
0,040	20/05/2022	09:49:21:440
0,040	20/05/2022	09:49:21:940
0,040	20/05/2022	09:49:22:440
0,040	20/05/2022	09:49:22:940
0,040	20/05/2022	09:49:23:440
0,040	20/05/2022	09:49:23:940
0,040	20/05/2022	09:49:24:440
0,037	20/05/2022	09:49:24:940
0,037	20/05/2022	09:49:25:440
0,037	20/05/2022	09:49:25:940
0,037	20/05/2022	09:49:26:440
0,037	20/05/2022	09:49:26:940
0,037	20/05/2022	09:49:27:440
0,037	20/05/2022	09:49:27:940
0,037	20/05/2022	09:49:28:440
0,037	20/05/2022	09:49:28:940
0,037	20/05/2022	09:49:29:440
0,037	20/05/2022	09:49:29:940
0,037	20/05/2022	09:49:30:440
0,037	20/05/2022	09:49:30:940
0,037	20/05/2022	09:49:31:440
0,037	20/05/2022	09:49:31:940
0,037	20/05/2022	09:49:32:440
0,037	20/05/2022	09:49:32:940
0,037	20/05/2022	09:49:33:440
0,037	20/05/2022	09:49:33:940
0,037	20/05/2022	09:49:34:440
0,037	20/05/2022	09:49:34:940
0,037	20/05/2022	09:49:35:440
0,037	20/05/2022	09:49:35:940
0,037	20/05/2022	09:49:36:440
0,037	20/05/2022	09:49:36:940
0,037	20/05/2022	09:49:37:440
0,037	20/05/2022	09:49:37:940
0,037	20/05/2022	09:49:38:440
0,037	20/05/2022	09:49:38:940
0,037	20/05/2022	09:49:39:440
0,037	20/05/2022	09:49:39:940
0,037	20/05/2022	09:49:40:440
0,037	20/05/2022	09:49:40:940
0,037	20/05/2022	09:49:41:440
0,037	20/05/2022	09:49:41:940
0,037	20/05/2022	09:49:42:440
0,037	20/05/2022	09:49:42:940
0,037	20/05/2022	09:49:43:440
0,037	20/05/2022	09:49:43:940
0,037	20/05/2022	09:49:44:440
0,037	20/05/2022	09:49:44:940
0,037	20/05/2022	09:49:45:440
0,037	20/05/2022	09:49:45:940
0,037	20/05/2022	09:49:46:440
0,037	20/05/2022	09:49:46:940
0,037	20/05/2022	09:49:47:440
0,037	20/05/2022	09:49:47:940
0,037	20/05/2022	09:49:48:440
0,037	20/05/2022	09:49:48:940
0,037	20/05/2022	09:49:49:440
0,037	20/05/2022	09:49:49:940
0,037	20/05/2022	09:49:50:440
0,037	20/05/2022	09:49:50:940
0,037	20/05/2022	09:49:51:440
0,037	20/05/2022	09:49:51:940
0,037	20/05/2022	09:49:52:440
0,037	20/05/2022	09:49:52:940
0,037	20/05/2022	09:49:53:440
0,037	20/05/2022	09:49:53:940
0,037	20/05/2022	09:49:54:440
0,037	20/05/2022	09:49:54:940
0,037	20/05/2022	09:49:55:440
0,037	20/05/2022	09:49:55:940
0,037	20/05/2022	09:49:56:440
0,037	20/05/2022	09:49:56:940
0,037	20/05/2022	09:49:57:440
0,037	20/05/2022	09:49:57:940
0,037	20/05/2022	09:49:58:440
0,037	20/05/2022	09:49:58:940
0,037	20/05/2022	09:49:59:440
0,037	20/05/2022	09:49:59:940
0,037	20/05/2022	09:50:00:440
0,037	20/05/2022	09:50:00:940
0,043	20/05/2022	09:50:01:440
0,043	20/05/2022	09:50:01:940
0,043	20/05/2022	09:50:02:440
0,043	20/05/2022	09:50:02:940
0,043	20/05/2022	09:50:03:440
0,043	20/05/2022	09:50:03:940
0,043	20/05/2022	09:50:04:440
0,043	20/05/2022	09:50:04:940
0,040	20/05/2022	09:50:05:440
0,040	20/05/2022	09:50:05:940
0,040	20/05/2022	09:50:06:440
0,040	20/05/2022	09:50:06:940
0,040	20/05/2022	09:50:07:440
0,040	20/05/2022	09:50:07:940
0,040	20/05/2022	09:50:08:440
0,040	20/05/2022	09:50:08:940
0,040	20/05/2022	09:50:09:440
0,040	20/05/2022	09:50:09:940
0,040	20/05/2022	09:50:10:440
0,040	20/05/2022	09:50:10:940
0,040	20/05/2022	09:50:11:440
0,040	20/05/2022	09:50:11:940
0,040	20/05/2022	09:50:12:440
0,040	20/05/2022	09:50:12:940
0,040	20/05/2022	09:50:13:440
0,040	20/05/2022	09:50:13:940
0,040	20/05/2022	09:50:14:440
0,040	20/05/2022	09:50:14:940
0,040	20/05/2022	09:50:15:440
0,040	20/05/2022	09:50:15:940
0,040	20/05/2022	09:50:16:440
0,040	20/05/2022	09:50:16:940
0,040	20/05/2022	09:50:17:440
0,040	20/05/2022	09:50:17:940
0,040	20/05/2022	09:50:18:440
0,040	20/05/2022	09:50:18:940
0,040	20/05/2022	09:50:19:440
0,040	20/05/2022	09:50:19:940
0,040	20/05/2022	09:50:20:440
0,040	20/05/2022	09:50:20:940
0,040	20/05/2022	09:50:21:440
0,040	20/05/2022	09:50:21:940
0,040	20/05/2022	09:50:22:440
0,040	20/05/2022	09:50:22:940
0,040	20/05/2022	09:50:23:440
0,040	20/05/2022	09:50:23:940
0,040	20/05/2022	09:50:24:440
0,043	20/05/2022	09:50:24:940
0,043	20/05/2022	09:50:25:440
0,043	20/05/2022	09:50:25:940
0,043	20/05/2022	09:50:26:440
0,043	20/05/2022	09:50:26:940
0,043	20/05/2022	09:50:27:440
0,043	20/05/2022	09:50:27:940
0,043	20/05/2022	09:50:28:440
0,046	20/05/2022	09:50:28:940
0,046	20/05/2022	09:50:29:440
0,046	20/05/2022	09:50:29:940
0,046	20/05/2022	09:50:30:440
0,046	20/05/2022	09:50:30:940
0,046	20/05/2022	09:50:31:440
0,046	20/05/2022	09:50:31:940
0,046	20/05/2022	09:50:32:440
0,046	20/05/2022	09:50:32:940
0,046	20/05/2022	09:50:33:440
0,046	20/05/2022	09:50:33:940
0,046	20/05/2022	09:50:34:440
0,046	20/05/2022	09:50:34:940
0,040	20/05/2022	09:50:35:440
0,040	20/05/2022	09:50:35:940
0,040	20/05/2022	09:50:36:440
0,040	20/05/2022	09:50:36:940
0,040	20/05/2022	09:50:37:440
0,040	20/05/2022	09:50:37:940
0,040	20/05/2022	09:50:38:440
0,040	20/05/2022	09:50:38:940
0,040	20/05/2022	09:50:39:440
0,040	20/05/2022	09:50:39:940
0,040	20/05/2022	09:50:40:440
0,040	20/05/2022	09:50:40:940
0,040	20/05/2022	09:50:41:440
0,040	20/05/2022	09:50:41:940
0,040	20/05/2022	09:50:42:440
0,040	20/05/2022	09:50:42:940
0,040	20/05/2022	09:50:43:440
0,040	20/05/2022	09:50:43:940
0,040	20/05/2022	09:50:44:440
0,040	20/05/2022	09:50:44:940
0,040	20/05/2022	09:50:45:440
0,040	20/05/2022	09:50:45:940
0,040	20/05/2022	09:50:46:440
0,040	20/05/2022	09:50:46:940
0,040	20/05/2022	09:50:47:440
0,040	20/05/2022	09:50:47:940
0,040	20/05/2022	09:50:48:440
0,040	20/05/2022	09:50:48:940
0,040	20/05/2022	09:50:49:440
0,040	20/05/2022	09:50:49:940
0,040	20/05/2022	09:50:50:440
0,040	20/05/2022	09:50:50:940
0,040	20/05/2022	09:50:51:440
0,040	20/05/2022	09:50:51:940
0,040	20/05/2022	09:50:52:440
0,040	20/05/2022	09:50:52:940
0,040	20/05/2022	09:50:53:440
0,040	20/05/2022	09:50:53:940
0,040	20/05/2022	09:50:54:440
0,040	20/05/2022	09:50:54:940
0,040	20/05/2022	09:50:55:440
0,040	20/05/2022	09:50:55:940
0,040	20/05/2022	09:50:56:440
0,040	20/05/2022	09:50:56:940
0,040	20/05/2022	09:50:57:440
0,040	20/05/2022	09:50:57:940
0,037	20/05/2022	09:50:58:440
0,037	20/05/2022	09:50:58:940
0,037	20/05/2022	09:50:59:440
0,037	20/05/2022	09:50:59:940
0,037	20/05/2022	09:51:00:440
0,037	20/05/2022	09:51:00:940
0,037	20/05/2022	09:51:01:440
0,037	20/05/2022	09:51:01:940
0,037	20/05/2022	09:51:02:440
0,034	20/05/2022	09:51:02:940
0,034	20/05/2022	09:51:03:440
0,034	20/05/2022	09:51:03:940
0,034	20/05/2022	09:51:04:440
0,034	20/05/2022	09:51:04:940
0,034	20/05/2022	09:51:05:440
0,034	20/05/2022	09:51:05:940
0,028	20/05/2022	09:51:06:440
0,028	20/05/2022	09:51:06:940
0,028	20/05/2022	09:51:07:440
0,028	20/05/2022	09:51:07:940
0,028	20/05/2022	09:51:08:440
0,028	20/05/2022	09:51:08:940
0,028	20/05/2022	09:51:09:440
0,028	20/05/2022	09:51:09:940
0,028	20/05/2022	09:51:10:440
0,028	20/05/2022	09:51:10:940
0,028	20/05/2022	09:51:11:440
0,025	20/05/2022	09:51:11:940
0,025	20/05/2022	09:51:12:440
0,025	20/05/2022	09:51:12:940
0,025	20/05/2022	09:51:13:440
0,025	20/05/2022	09:51:13:940
0,025	20/05/2022	09:51:14:440
0,025	20/05/2022	09:51:14:940
0,025	20/05/2022	09:51:15:440
0,025	20/05/2022	09:51:15:940
0,022	20/05/2022	09:51:16:440
0,022	20/05/2022	09:51:16:940
0,022	20/05/2022	09:51:17:440
0,022	20/05/2022	09:51:17:940
0,022	20/05/2022	09:51:18:440
0,022	20/05/2022	09:51:18:940
0,022	20/05/2022	09:51:19:440
0,022	20/05/2022	09:51:19:940
0,022	20/05/2022	09:51:20:440
0,022	20/05/2022	09:51:20:940
0,022	20/05/2022	09:51:21:440
0,022	20/05/2022	09:51:21:940
0,022	20/05/2022	09:51:22:440
0,022	20/05/2022	09:51:22:940
0,022	20/05/2022	09:51:23:440
0,022	20/05/2022	09:51:23:940
0,022	20/05/2022	09:51:24:440
0,022	20/05/2022	09:51:24:940
0,025	20/05/2022	09:51:25:440
0,025	20/05/2022	09:51:25:940
0,031	20/05/2022	09:51:26:440
0,031	20/05/2022	09:51:26:940
0,031	20/05/2022	09:51:27:440
0,037	20/05/2022	09:51:27:940
0,037	20/05/2022	09:51:28:440
0,037	20/05/2022	09:51:28:940
0,037	20/05/2022	09:51:29:440
0,037	20/05/2022	09:51:29:940
0,037	20/05/2022	09:51:30:440
0,037	20/05/2022	09:51:30:940
0,037	20/05/2022	09:51:31:440
0,037	20/05/2022	09:51:31:940
0,040	20/05/2022	09:51:32:440
