

OBS-5+ S/N:S5266     Firmware Version: 1.50
Sensor                            Data Columns
 1  Pressure                       Mean & s.d.
 2  NEAR OBS                              Mean
 6  ND Count                              Mean
 7  FD Count                              Mean
 9  Battery                               Mean

23:05:00 09/21/2022     9.86     0.00     2.41  32787.43  33118.20      4.3 
23:10:00 09/21/2022     9.86     0.00     2.38  32786.90  33119.20      4.3 
23:15:00 09/21/2022     9.87     0.00     2.40  32787.27  33113.57      4.3 
23:20:00 09/21/2022     9.87     0.00     2.39  32787.17  33113.04      4.3 
23:25:00 09/21/2022     9.87     0.00     2.37  32786.73  33116.04      4.3 
23:30:00 09/21/2022     9.87     0.00     2.38  32786.96  33109.63      4.3 
23:35:00 09/21/2022     9.86     0.00     2.37  32786.83  33110.43      4.3 
23:40:00 09/21/2022     9.86     0.00     2.36  32786.54  33112.13      4.3 
23:45:00 09/21/2022     9.86     0.00     2.34  32786.20  33111.60      4.3 
23:50:00 09/21/2022     9.86     0.00     2.33  32786.07  33111.70      4.3 
23:55:00 09/21/2022     9.86     0.00     2.33  32786.04  33113.04      4.3 
00:00:00 09/22/2022     9.86     0.00     2.34  32786.17  33114.60      4.3 
00:05:00 09/22/2022     9.86     0.00     2.33  32786.10  33115.33      4.3 
00:10:00 09/22/2022     9.86     0.00     2.35  32786.40  33118.80      4.3 
00:15:00 09/22/2022     9.86     0.00     2.37  32786.67  33118.87      4.3 
00:20:00 09/22/2022     9.86     0.00     2.38  32786.96  33118.93      4.3 
00:25:00 09/22/2022     9.86     0.00     2.35  32786.40  33115.20      4.3 
00:30:00 09/22/2022     9.86     0.00     2.38  32786.93  33113.40      4.3 
00:35:00 09/22/2022     9.86     0.00     2.38  32786.87  33111.77      4.3 
00:40:00 09/22/2022     9.86     0.00     2.41  32787.54  33111.60      4.3 
00:45:00 09/22/2022     9.86     0.00     2.43  32787.80  33111.73      4.3 
00:50:00 09/22/2022     9.86     0.00     2.43  32787.77  33111.10      4.3 
00:55:00 09/22/2022     9.86     0.00     2.43  32787.90  33111.93      4.3 
01:00:00 09/22/2022     9.86     0.00     2.44  32788.04  33113.20      4.3 
01:05:00 09/22/2022     9.86     0.00     2.44  32788.04  33110.90      4.3 
01:10:00 09/22/2022     9.86     0.00     2.44  32788.07  33108.80      4.3 
01:15:00 09/22/2022     9.85     0.00     2.44  32788.04  33108.83      4.3 
01:20:00 09/22/2022     9.85     0.00     2.40  32787.37  33109.10      4.3 
01:25:00 09/22/2022     9.85     0.00     2.39  32787.20  33110.90      4.3 
01:30:00 09/22/2022     9.85     0.00     2.40  32787.27  33113.04      4.3 
01:35:00 09/22/2022     9.85     0.00     2.39  32787.10  33114.83      4.3 
01:40:00 09/22/2022     9.85     0.00     2.42  32787.63  33114.73      4.3 
01:45:00 09/22/2022     9.85     0.00     2.52  32789.46  33119.10      4.3 
01:50:00 09/22/2022     9.85     0.00     2.28  32785.10  33118.30      4.3 
01:55:00 09/22/2022     9.85     0.00     3.25  32802.90  32960.33      4.3 
02:00:00 09/22/2022     9.85     0.00     2.63  32791.46  33135.90      4.3 
02:05:00 09/22/2022     9.85     0.00     2.76  32793.87  33145.40      4.3 
02:10:00 09/22/2022     9.85     0.00     5.38  32841.70  33101.50      4.3 
02:15:00 09/22/2022     9.85     0.00     4.00  32816.46  33180.33      4.3 
02:20:00 09/22/2022     9.85     0.00     5.64  32846.63  33013.13      4.3 
02:25:00 09/22/2022     9.85     0.00    14.04  33001.04  33931.40      4.3 
02:30:00 09/22/2022     9.85     0.00     8.57  32900.30  33210.50      4.3 
02:35:00 09/22/2022     9.85     0.00    12.43  32971.83  35640.23      4.3 
02:40:00 09/22/2022     9.85     0.00    11.98  32963.04  33328.60      4.3 
02:45:00 09/22/2022     9.85     0.00     3.58  32808.87  33264.73      4.3 
02:50:00 09/22/2022     9.85     0.00     4.73  32829.80  33192.57      4.3 
02:55:00 09/22/2022     9.85     0.00     5.60  32845.77  33026.77      4.3 
03:00:00 09/22/2022     9.85     0.00     6.81  32867.90  33102.77      4.3 
03:05:00 09/22/2022     9.85     0.00    17.75  33069.77  33132.80      4.3 
03:10:00 09/22/2022     9.85     0.00     5.68  32847.20  32979.83      4.3 
03:15:00 09/22/2022     9.85     0.00     5.91  32851.50  32933.93      4.3 
03:20:00 09/22/2022     9.85     0.00     3.21  32802.07  32927.40      4.3 
03:25:00 09/22/2022     9.85     0.00     4.66  32828.57  33031.77      4.3 
03:30:00 09/22/2022     9.86     0.00     3.04  32798.93  33038.54      4.3 
03:35:00 09/22/2022     9.86     0.00     4.39  32823.67  33017.54      4.3 
03:40:00 09/22/2022     9.86     0.00     4.26  32821.23  32990.73      4.3 
03:45:00 09/22/2022     9.86     0.00     3.69  32810.93  33033.57      4.3 
03:50:00 09/22/2022     9.86     0.00     3.98  32816.20  33068.04      4.3 
03:55:00 09/22/2022     9.86     0.00     3.24  32802.60  33056.96      4.3 
04:00:00 09/22/2022     9.86     0.00     6.13  32855.54  33015.73      4.3 
04:05:00 09/22/2022     9.86     0.00     5.49  32843.70  33124.04      4.3 
04:10:00 09/22/2022     9.86     0.00     4.40  32823.87  33232.17      4.3 
04:15:00 09/22/2022     9.86     0.00     8.49  32898.77  33169.63      4.3 
04:20:00 09/22/2022     9.86     0.00     3.21  32802.13  33209.96      4.3 
04:25:00 09/22/2022     9.86     0.00     3.50  32807.40  33246.77      4.3 
04:30:00 09/22/2022     9.86     0.00     5.41  32842.20  33113.83      4.3 
04:35:00 09/22/2022     9.86     0.00     5.04  32835.50  33032.83      4.3 
04:40:00 09/22/2022     9.86     0.00     4.04  32817.23  33049.73      4.3 
04:45:00 09/22/2022     9.86     0.00     3.57  32808.63  33085.20      4.3 
04:50:00 09/22/2022     9.86     0.00     3.25  32802.87  33048.67      4.3 
04:55:00 09/22/2022     9.87     0.00     3.97  32816.00  33101.17      4.3 
05:00:00 09/22/2022     9.87     0.00     5.50  32843.93  33109.13      4.3 
05:05:00 09/22/2022     9.87     0.00    10.26  32931.30  33142.33      4.3 
05:10:00 09/22/2022     9.87     0.00     7.22  32875.40  33094.30      4.3 
05:15:00 09/22/2022     9.87     0.00     7.74  32884.93  33088.93      4.3 
05:20:00 09/22/2022     9.87     0.00     8.38  32896.77  33043.96      4.3 
05:25:00 09/22/2022     9.87     0.00     4.92  32833.33  33017.73      4.3 
05:30:00 09/22/2022     9.87     0.00     5.86  32850.54  32969.07      4.3 
05:35:00 09/22/2022     9.87     0.00     8.32  32895.63  32963.13      4.3 
05:40:00 09/22/2022     9.87     0.00     7.29  32876.73  33003.37      4.3 
05:45:00 09/22/2022     9.87     0.00     6.57  32863.63  32998.83      4.3 
05:50:00 09/22/2022     9.87     0.00     5.21  32838.67  33007.07      4.3 
05:55:00 09/22/2022     9.87     0.00     2.67  32792.17  33094.40      4.3 
06:00:00 09/22/2022     9.87     0.00     2.59  32790.70  33192.20      4.3 
06:05:00 09/22/2022     9.87     0.00     3.43  32806.07  33237.23      4.3 
06:10:00 09/22/2022     9.87     0.00     3.41  32805.77  33238.70      4.3 
06:15:00 09/22/2022     9.87     0.00     3.35  32804.67  33245.04      4.3 
06:20:00 09/22/2022     9.87     0.00     3.36  32804.87  33253.23      4.3 
06:25:00 09/22/2022     9.88     0.00     3.33  32804.20  33252.77      4.3 
06:30:00 09/22/2022     9.87     0.00     3.34  32804.50  33247.83      4.3 
06:35:00 09/22/2022     9.88     0.00     3.32  32804.07  33244.30      4.3 
06:40:00 09/22/2022     9.88     0.00     3.31  32803.87  33246.93      4.3 
06:45:00 09/22/2022     9.88     0.00     3.33  32804.23  33242.90      4.3 
06:50:00 09/22/2022     9.88     0.00     3.33  32804.30  33244.23      4.3 
06:55:00 09/22/2022     9.88     0.00     3.34  32804.50  33247.54      4.3 
07:00:00 09/22/2022     9.88     0.00     3.29  32803.46  33238.87      4.3 
07:05:00 09/22/2022     9.88     0.00     3.30  32803.63  33241.50      4.3 
07:10:00 09/22/2022     9.88     0.00     3.31  32803.83  33245.83      4.3 
07:15:00 09/22/2022     9.88     0.00     3.29  32803.54  33245.83      4.3 
07:20:00 09/22/2022     9.88     0.00     3.29  32803.60  33234.60      4.3 
07:25:00 09/22/2022     9.88     0.00     3.24  32802.57  33231.30      4.3 
07:30:00 09/22/2022     9.88     0.00     3.22  32802.20  33224.07      4.3 
07:35:00 09/22/2022     9.88     0.00     3.22  32802.23  33227.73      4.3 
07:40:00 09/22/2022     9.88     0.00     3.20  32801.93  33227.40      4.3 
07:45:00 09/22/2022     9.87     0.00     3.15  32801.04  33224.77      4.3 
07:50:00 09/22/2022     9.87     0.00     3.13  32800.63  32773.46      4.3 
07:55:00 09/22/2022     9.86     0.00     3.15  32801.07  32773.87      4.3 
08:00:00 09/22/2022     9.85     0.00     0.00  32741.90  32800.67      4.3 
08:05:00 09/22/2022     9.85     0.00     0.63  32755.10  32795.37      4.3 
08:10:00 09/22/2022     9.85     0.00     0.00  32741.90  32800.77      4.3 
08:15:00 09/22/2022     9.84     0.00     0.00  32741.97  32800.70      4.3 
08:20:00 09/22/2022     9.84     0.00     1.01  32762.07  32807.60      4.3 
08:25:00 09/22/2022     9.84     0.00     0.00  32741.97  32800.83      4.3 
08:30:00 09/22/2022     9.84     0.00     0.00  32741.97  32800.77      4.3 
08:35:00 09/22/2022     9.84     0.00     0.56  32753.77  32798.37      4.3 
08:40:00 09/22/2022     9.84     0.00     0.00  32742.07  32800.87      4.3 
08:45:00 09/22/2022     9.84     0.00     0.00  32742.07  32800.77      4.3 
08:50:00 09/22/2022     9.84     0.00     0.00  32742.10  32801.04      4.3 
08:55:00 09/22/2022     9.84     0.00     0.00  32742.30  32801.00      4.3 
09:00:00 09/22/2022     9.84     0.00     0.00  32742.23  32800.93      4.3 
09:05:00 09/22/2022     9.84     0.00     0.00  32742.23  32800.87      4.3 
09:10:00 09/22/2022     9.84     0.00     0.00  32742.17  32800.80      4.3 
09:15:00 09/22/2022     9.84     0.00     0.00  32743.07  32800.33      4.3 
09:20:00 09/22/2022     9.84     0.00     1.69  32774.46  32785.23      4.3 
09:25:00 09/22/2022     9.85     0.00     1.73  32775.07  32855.30      4.3 
09:30:00 09/22/2022     9.85     0.00     1.86  32777.60  32787.20      4.3 
09:35:00 09/22/2022     9.85     0.00     0.00  32742.40  32800.93      4.3 
09:40:00 09/22/2022     9.85     0.00     1.04  32762.50  32791.20      4.3 
09:45:00 09/22/2022     9.85     0.00     2.10  32781.93  32787.40      4.3 
09:50:00 09/22/2022     9.85     0.00     0.78  32757.80  32794.73      4.3 
09:55:00 09/22/2022     9.85     0.00     1.09  32763.53  32791.40      4.3 
10:00:00 09/22/2022     9.85     0.00     3.06  32799.33  32774.20      4.3 
10:05:00 09/22/2022     9.85     0.00     3.13  32800.57  33171.63      4.3 
10:10:00 09/22/2022     9.85     0.00     3.06  32799.33  32774.23      4.3 
10:15:00 09/22/2022     9.85     0.00     2.97  32797.77  32774.70      4.3 
10:20:00 09/22/2022     9.85     0.00     2.93  32796.90  33018.10      4.3 
10:25:00 09/22/2022     9.85     0.00     3.13  32800.60  32774.33      4.3 
10:30:00 09/22/2022     9.84     0.00     3.12  32800.46  32773.40      4.3 
10:35:00 09/22/2022     9.84     0.00     3.19  32801.80  32774.30      4.3 
10:40:00 09/22/2022     9.84     0.00     3.23  32802.37  33014.57      4.3 
10:45:00 09/22/2022     9.85     0.00     3.20  32801.87  33170.30      4.3 
10:50:00 09/22/2022     9.84     0.00     3.20  32801.96  32774.40      4.3 
10:55:00 09/22/2022     9.85     0.00     3.19  32801.63  32774.30      4.3 
11:00:00 09/22/2022     9.84     0.00     3.14  32800.83  32774.13      4.3 
11:05:00 09/22/2022     9.84     0.00     3.16  32801.13  32774.13      4.3 
11:10:00 09/22/2022     9.84     0.00     3.06  32799.40  32774.23      4.3 
11:15:00 09/22/2022     9.84     0.00     3.13  32800.54  32774.27      4.3 
11:20:00 09/22/2022     9.84     0.00     3.15  32801.00  32774.37      4.3 
11:25:00 09/22/2022     9.83     0.00     3.08  32799.63  32774.54      4.3 
11:30:00 09/22/2022     9.83     0.00     3.12  32800.46  32774.33      4.3 
11:35:00 09/22/2022     9.83     0.00     3.14  32800.77  32774.30      4.3 
11:40:00 09/22/2022     9.83     0.00     3.08  32799.70  32774.50      4.3 
11:45:00 09/22/2022     9.83     0.00     3.01  32798.50  32774.30      4.3 
11:50:00 09/22/2022     9.83     0.00     3.00  32798.27  32774.04      4.3 
11:55:00 09/22/2022     9.83     0.00     2.89  32796.33  32774.17      4.3 
12:00:00 09/22/2022     9.83     0.00     0.00  32742.70  32801.20      4.3 
12:05:00 09/22/2022     9.83     0.00     0.00  32742.67  32801.13      4.3 
12:10:00 09/22/2022     9.83     0.00     0.00  32742.50  32800.96      4.3 
12:15:00 09/22/2022     9.83     0.00     0.00  32742.50  32801.04      4.3 
12:20:00 09/22/2022     9.83     0.00     0.00  32742.70  32801.13      4.3 
12:25:00 09/22/2022     9.83     0.00     0.00  32742.53  32801.17      4.3 
12:30:00 09/22/2022     9.83     0.00     0.00  32742.60  32801.07      4.3 
12:35:00 09/22/2022     9.83     0.00     0.00  32742.60  32801.23      4.3 
12:40:00 09/22/2022     9.83     0.00     0.00  32742.60  32801.30      4.3 
12:45:00 09/22/2022     9.83     0.00     0.00  32742.60  32801.07      4.3 
12:50:00 09/22/2022     9.83     0.00     0.00  32742.60  32801.23      4.3 
12:55:00 09/22/2022     9.82     0.00     0.00  32742.77  32801.27      4.3 
13:00:00 09/22/2022     9.82     0.00     0.00  32742.70  32801.13      4.3 
13:05:00 09/22/2022     9.82     0.00     0.00  32742.63  32801.17      4.3 
13:10:00 09/22/2022     9.82     0.00     0.00  32742.80  32801.07      4.3 
13:15:00 09/22/2022     9.82     0.00     0.00  32742.70  32801.27      4.3 
13:20:00 09/22/2022     9.82     0.00     0.00  32742.80  32801.17      4.3 
13:25:00 09/22/2022     9.82     0.00     0.00  32742.73  32801.17      4.3 
13:30:00 09/22/2022     9.81     0.00     0.00  32742.73  32801.17      4.3 
13:35:00 09/22/2022     9.81     0.00     0.00  32742.77  32801.40      4.3 
13:40:00 09/22/2022     9.81     0.00     0.00  32742.70  32801.23      4.3 
13:45:00 09/22/2022     9.81     0.00     0.00  32742.77  32801.46      4.3 
13:50:00 09/22/2022     9.81     0.00     0.00  32742.80  32801.27      4.3 
13:55:00 09/22/2022     9.81     0.00     0.00  32742.87  32801.33      4.3 
14:00:00 09/22/2022     9.81     0.00     0.00  32742.77  32801.40      4.3 
14:05:00 09/22/2022     9.81     0.00     0.00  32742.90  32801.33      4.3 
14:10:00 09/22/2022     9.81     0.00     0.00  32742.83  32801.30      4.3 
14:15:00 09/22/2022     9.81     0.00     0.00  32742.87  32801.46      4.3 
14:20:00 09/22/2022     9.81     0.00     0.00  32742.80  32801.27      4.3 
14:25:00 09/22/2022     9.81     0.00     0.00  32742.73  32801.30      4.3 
14:30:00 09/22/2022     9.81     0.00     0.00  32742.80  32801.27      4.3 
14:35:00 09/22/2022     9.81     0.00     0.00  32742.77  32801.20      4.3 
14:40:00 09/22/2022     9.81     0.00     0.00  32742.87  32801.30      4.3 
14:45:00 09/22/2022     9.81     0.00     0.00  32742.83  32801.46      4.3 
14:50:00 09/22/2022     9.81     0.00     0.00  32742.83  32801.46      4.3 
14:55:00 09/22/2022     9.81     0.00     0.00  32742.83  32801.33      4.3 
15:00:00 09/22/2022     9.81     0.00     0.00  32742.80  32801.50      4.3 
15:05:00 09/22/2022     9.81     0.00     0.00  32742.83  32801.37      4.3 
15:10:00 09/22/2022     9.81     0.00     0.00  32742.83  32801.37      4.3 
15:15:00 09/22/2022     9.81     0.00     0.00  32742.97  32801.43      4.3 
15:20:00 09/22/2022     9.81     0.00     0.00  32742.83  32801.40      4.3 
15:25:00 09/22/2022     9.81     0.00     0.00  32742.80  32801.37      4.3 
15:30:00 09/22/2022     9.81     0.00     0.00  32742.87  32801.46      4.3 
15:35:00 09/22/2022     9.81     0.00     0.00  32742.87  32801.27      4.3 
15:40:00 09/22/2022     9.81     0.00     0.00  32742.80  32801.46      4.3 
15:45:00 09/22/2022     9.81     0.00     0.00  32742.83  32801.37      4.3 
15:50:00 09/22/2022     9.81     0.00     0.00  32742.80  32801.37      4.3 
