

OBS-5+ S/N:S5266     Firmware Version: 1.50
Sensor                            Data Columns
 1  Pressure                       Mean & s.d.
 2  NEAR OBS                       Mean & s.d.

00:25:00 02/02/2023     0.00     0.00     5.68     0.02 
00:30:00 02/02/2023     0.00     0.00     5.72     0.02 
00:35:00 02/02/2023     0.00     0.00     5.65     0.03 
00:40:00 02/02/2023     0.00     0.00     5.70     0.03 
00:45:00 02/02/2023     0.00     0.00     5.67     0.02 
00:50:00 02/02/2023     0.00     0.00     5.68     0.03 
00:55:00 02/02/2023     0.00     0.00     5.65     0.03 
01:00:00 02/02/2023     0.00     0.00     5.66     0.02 
01:05:00 02/02/2023     0.00     0.00     5.64     0.03 
01:10:00 02/02/2023     0.00     0.00     5.67     0.03 
01:15:00 02/02/2023     0.00     0.00     5.64     0.04 
01:20:00 02/02/2023     0.00     0.00     5.66     0.02 
01:25:00 02/02/2023     0.00     0.00     6.39     0.20 
01:30:00 02/02/2023     0.00     0.00     6.69     0.72 
01:35:00 02/02/2023     0.00     0.00     5.70     0.03 
01:40:00 02/02/2023     0.00     0.00     5.65     0.16 
01:45:00 02/02/2023     0.00     0.00     5.70     0.03 
01:50:00 02/02/2023     0.00     0.00     5.48     0.08 
01:55:00 02/02/2023     0.00     0.00     5.47     0.03 
02:00:00 02/02/2023     0.00     0.00     5.56     0.04 
02:05:00 02/02/2023     0.00     0.00     5.68     0.06 
02:10:00 02/02/2023     0.00     0.00     5.69     0.03 
02:15:00 02/02/2023     0.00     0.00     5.71     0.03 
02:20:00 02/02/2023     0.00     0.00     5.41     0.39 
02:25:00 02/02/2023     0.00     0.00    16.38     8.29 
02:30:00 02/02/2023     0.00     0.00     5.70     0.03 
02:35:00 02/02/2023     0.00     0.00     5.70     0.03 
02:40:00 02/02/2023     0.00     0.00     5.69     0.03 
02:45:00 02/02/2023     0.00     0.00     5.71     0.03 
02:50:00 02/02/2023     0.00     0.00     6.56     0.25 
02:55:00 02/02/2023     0.00     0.00     5.99     0.17 
03:00:00 02/02/2023     0.00     0.00     5.69     0.03 
03:05:00 02/02/2023     0.00     0.00     5.70     0.03 
03:10:00 02/02/2023     0.00     0.00     5.69     0.03 
03:15:00 02/02/2023     0.00     0.00     5.95     1.13 
03:20:00 02/02/2023     0.00     0.00     5.67     0.03 
03:25:00 02/02/2023     0.00     0.00     5.68     0.03 
03:30:00 02/02/2023     0.00     0.00     5.69     0.03 
03:35:00 02/02/2023     0.00     0.00     5.68     0.03 
03:40:00 02/02/2023     0.00     0.00     5.66     0.02 
03:45:00 02/02/2023     0.00     0.00     5.69     0.03 
03:50:00 02/02/2023     0.00     0.00     5.72     0.02 
03:55:00 02/02/2023     0.00     0.00     5.69     0.04 
04:00:00 02/02/2023     0.00     0.00     5.69     0.04 
04:05:00 02/02/2023     0.00     0.00     5.76     0.40 
04:10:00 02/02/2023     0.00     0.00     5.71     0.03 
04:15:00 02/02/2023     0.00     0.00     5.70     0.03 
04:20:00 02/02/2023     0.00     0.00     5.71     0.02 
04:25:00 02/02/2023     0.00     0.00     5.66     0.18 
04:30:00 02/02/2023     0.00     0.00     5.68     0.12 
04:35:00 02/02/2023     0.00     0.00     5.73     0.02 
04:40:00 02/02/2023     0.00     0.00     5.75     0.03 
04:45:00 02/02/2023     0.00     0.00     5.67     0.25 
04:50:00 02/02/2023     0.00     0.00     5.75     0.03 
04:55:00 02/02/2023     0.00     0.00     5.76     0.03 
05:00:00 02/02/2023     0.00     0.00     5.57     0.32 
05:05:00 02/02/2023     0.00     0.00     5.15     0.11 
05:10:00 02/02/2023     0.00     0.00     5.33     0.03 
05:15:00 02/02/2023     0.00     0.00     5.29     0.03 
05:20:00 02/02/2023     0.00     0.00     4.57     0.02 
05:25:00 02/02/2023     0.00     0.00     4.53     0.03 
05:30:00 02/02/2023     0.00     0.00     4.53     0.03 
05:35:00 02/02/2023     0.00     0.00     4.56     0.04 
05:40:00 02/02/2023     0.00     0.00     7.97     0.20 
05:45:00 02/02/2023     0.00     0.00     4.82     0.10 
05:50:00 02/02/2023     0.00     0.00     5.02     0.03 
05:55:00 02/02/2023     0.00     0.00     4.98     0.05 
06:00:00 02/02/2023     0.00     0.00     4.91     0.05 
06:05:00 02/02/2023     0.00     0.00     4.90     0.04 
06:10:00 02/02/2023     0.00     0.00     4.90     0.06 
06:15:00 02/02/2023     0.00     0.00     5.43     0.29 
06:20:00 02/02/2023     0.00     0.00     5.68     0.04 
06:25:00 02/02/2023     0.00     0.00     5.65     0.04 
06:30:00 02/02/2023     0.00     0.00     5.75     0.03 
06:35:00 02/02/2023     0.00     0.00     5.76     0.03 
06:40:00 02/02/2023     0.00     0.00     5.70     0.03 
06:45:00 02/02/2023     0.00     0.00     5.68     0.03 
06:50:00 02/02/2023     0.00     0.00     5.77     0.02 
06:55:00 02/02/2023     0.00     0.00     5.79     0.02 
07:00:00 02/02/2023     0.00     0.00     5.71     0.03 
07:05:00 02/02/2023     0.00     0.00     5.75     0.04 
07:10:00 02/02/2023     0.00     0.00     5.76     0.03 
07:15:00 02/02/2023     0.00     0.00     5.84     0.06 
07:20:00 02/02/2023     0.00     0.00     5.88     0.02 
07:25:00 02/02/2023     0.00     0.00     5.89     0.02 
07:30:00 02/02/2023     0.00     0.00     5.89     0.02 
07:35:00 02/02/2023     0.00     0.00     5.87     0.03 
07:40:00 02/02/2023     0.00     0.00     5.86     0.03 
07:45:00 02/02/2023     0.00     0.00     5.79     0.03 
07:50:00 02/02/2023     0.00     0.00     0.00     0.01 
07:55:00 02/02/2023     0.00     0.00     0.00     0.01 
08:00:00 02/02/2023     0.00     0.00     4.72     2.40 
08:05:00 02/02/2023     0.00     0.00     5.91     0.03 
08:10:00 02/02/2023     0.00     0.00     5.91     0.03 
08:15:00 02/02/2023     0.00     0.00     5.92     0.03 
08:20:00 02/02/2023     0.00     0.00     5.96     0.04 
08:25:00 02/02/2023     0.00     0.00     5.94     0.03 
08:30:00 02/02/2023     0.00     0.00     5.97     0.03 
08:35:00 02/02/2023     0.00     0.00     5.95     0.02 
08:40:00 02/02/2023     0.00     0.00     5.94     0.03 
08:45:00 02/02/2023     0.00     0.00     5.96     0.03 
08:50:00 02/02/2023     0.00     0.00     5.95     0.03 
08:55:00 02/02/2023     0.00     0.00     5.92     0.03 
09:00:00 02/02/2023     0.00     0.00     5.93     0.03 
