

OBS-5+ S/N:S5266     Firmware Version: 1.50
Sensor                            Data Columns
 1  Pressure                       Mean & s.d.
 2  NEAR OBS                       Mean & s.d.
 6  ND Count                              Mean
 7  FD Count                              Mean
 9  Battery                               Mean

21:20:00 10/25/2022     9.84     0.00     2.30     0.03  32785.50  32981.40      4.5 
21:25:00 10/25/2022     9.84     0.00     2.29     0.03  32785.20  32983.20      4.5 
21:30:00 10/25/2022     9.84     0.00     2.28     0.02  32785.00  32980.00      4.5 
21:35:00 10/25/2022     9.84     0.00     2.28     0.02  32785.10  32980.67      4.5 
21:40:00 10/25/2022     9.84     0.00     2.25     0.03  32784.57  32977.63      4.5 
21:45:00 10/25/2022     9.84     0.00     2.28     0.02  32785.04  32978.10      4.5 
21:50:00 10/25/2022     9.84     0.00     2.27     0.04  32785.00  32977.33      4.5 
21:55:00 10/25/2022     9.84     0.00     2.28     0.03  32785.10  32980.04      4.5 
22:00:00 10/25/2022     9.84     0.00     2.27     0.03  32785.00  32976.17      4.5 
22:05:00 10/25/2022     9.84     0.00     2.25     0.03  32784.57  32979.17      4.5 
22:10:00 10/25/2022     9.84     0.00     2.28     0.05  32785.13  32976.60      4.5 
22:15:00 10/25/2022     9.84     0.00     2.26     0.03  32784.67  32979.90      4.5 
22:20:00 10/25/2022     9.84     0.00     2.26     0.03  32784.77  32978.57      4.5 
22:25:00 10/25/2022     9.84     0.00     2.27     0.03  32784.87  32974.57      4.5 
22:30:00 10/25/2022     9.84     0.00     2.26     0.02  32784.80  32974.54      4.5 
22:35:00 10/25/2022     9.84     0.00     2.24     0.03  32784.37  32973.87      4.5 
22:40:00 10/25/2022     9.84     0.00     2.23     0.03  32784.27  32975.73      4.5 
22:45:00 10/25/2022     9.84     0.00     2.26     0.03  32784.70  32977.60      4.5 
22:50:00 10/25/2022     9.84     0.00     2.27     0.02  32784.87  32978.04      4.5 
22:55:00 10/25/2022     9.84     0.00     2.24     0.03  32784.46  32972.23      4.5 
23:00:00 10/25/2022     9.84     0.00     2.21     0.03  32783.93  32971.00      4.5 
23:05:00 10/25/2022     9.84     0.00     2.24     0.03  32784.37  32974.57      4.5 
23:10:00 10/25/2022     9.84     0.00     2.26     0.03  32784.67  32972.13      4.5 
23:15:00 10/25/2022     9.84     0.00     2.21     0.02  32783.87  32974.00      4.5 
23:20:00 10/25/2022     9.84     0.00     2.22     0.02  32784.10  32976.04      4.5 
23:25:00 10/25/2022     9.84     0.00     2.20     0.03  32783.67  32971.90      4.5 
23:30:00 10/25/2022     9.83     0.00     2.22     0.02  32784.10  32970.70      4.5 
23:35:00 10/25/2022     9.83     0.00     2.23     0.03  32784.23  32973.80      4.5 
23:40:00 10/25/2022     9.84     0.00     2.20     0.02  32783.77  32971.07      4.5 
23:45:00 10/25/2022     9.83     0.00     2.22     0.02  32784.10  32972.70      4.5 
23:50:00 10/25/2022     9.83     0.00     2.21     0.04  32783.83  32973.17      4.5 
23:55:00 10/25/2022     9.83     0.00     2.21     0.03  32783.87  32975.30      4.5 
00:00:00 10/26/2022     9.83     0.00     2.25     0.05  32784.63  32974.07      4.5 
00:05:00 10/26/2022     9.83     0.00     2.21     0.02  32783.80  32968.10      4.5 
00:10:00 10/26/2022     9.83     0.00     2.20     0.02  32783.77  32971.67      4.5 
00:15:00 10/26/2022     9.83     0.00     2.23     0.02  32784.17  32973.70      4.5 
00:20:00 10/26/2022     9.83     0.00     2.23     0.03  32784.30  32969.57      4.5 
00:25:00 10/26/2022     9.83     0.00     2.22     0.01  32784.07  32969.23      4.5 
00:30:00 10/26/2022     9.83     0.00     2.22     0.01  32784.04  32968.43      4.5 
00:35:00 10/26/2022     9.83     0.00     2.21     0.02  32783.83  32970.17      4.5 
00:40:00 10/26/2022     9.83     0.00     2.18     0.03  32783.37  32976.27      4.5 
00:45:00 10/26/2022     9.83     0.00     2.20     0.03  32783.67  32968.37      4.5 
00:50:00 10/26/2022     9.83     0.00     2.18     0.02  32783.23  32967.73      4.5 
00:55:00 10/26/2022     9.83     0.00     2.19     0.03  32783.57  32967.83      4.5 
01:00:00 10/26/2022     9.83     0.00     2.17     0.02  32783.17  32968.10      4.5 
01:05:00 10/26/2022     9.83     0.00     2.20     0.03  32783.70  32963.90      4.5 
01:10:00 10/26/2022     9.83     0.00     2.17     0.03  32783.10  32965.43      4.5 
01:15:00 10/26/2022     9.83     0.00     2.18     0.02  32783.23  32970.23      4.5 
01:20:00 10/26/2022     9.83     0.00     2.16     0.02  32783.00  32967.93      4.5 
01:25:00 10/26/2022     9.83     0.00     2.17     0.02  32783.10  32964.73      4.5 
01:30:00 10/26/2022     9.83     0.00     2.16     0.02  32782.93  32969.04      4.5 
01:35:00 10/26/2022     9.82     0.00     2.18     0.03  32783.23  32962.10      4.5 
01:40:00 10/26/2022     9.82     0.00     2.18     0.03  32783.33  32967.57      4.5 
01:45:00 10/26/2022     9.82     0.00     2.16     0.02  32782.96  32963.17      4.5 
01:50:00 10/26/2022     9.82     0.00     2.15     0.03  32782.77  32960.30      4.5 
01:55:00 10/26/2022     9.82     0.00     2.19     0.03  32783.57  32967.43      4.5 
02:00:00 10/26/2022     9.82     0.00     2.15     0.02  32782.73  32963.23      4.5 
02:05:00 10/26/2022     9.82     0.00     2.11     0.01  32782.07  32965.04      4.5 
02:10:00 10/26/2022     9.82     0.00     2.14     0.03  32782.63  32961.37      4.5 
02:15:00 10/26/2022     9.82     0.00     2.16     0.01  32782.93  32963.07      4.5 
02:20:00 10/26/2022     9.82     0.00     2.11     0.02  32782.10  32963.10      4.5 
02:25:00 10/26/2022     9.82     0.00     2.12     0.03  32782.27  32961.96      4.5 
02:30:00 10/26/2022     9.82     0.00     2.44     0.12  32788.00  32988.37      4.5 
02:35:00 10/26/2022     9.82     0.00     2.41     0.04  32787.57  32982.54      4.5 
02:40:00 10/26/2022     9.83     0.00     2.46     0.03  32788.37  32984.54      4.5 
02:45:00 10/26/2022     9.83     0.00     2.42     0.03  32787.60  32988.23      4.5 
02:50:00 10/26/2022     9.83     0.00     2.46     0.03  32788.30  32989.04      4.5 
02:55:00 10/26/2022     9.83     0.00     2.46     0.03  32788.40  32986.70      4.5 
03:00:00 10/26/2022     9.83     0.00     2.49     0.03  32788.87  32991.87      4.5 
03:05:00 10/26/2022     9.83     0.00     2.49     0.03  32788.93  32991.87      4.5 
03:10:00 10/26/2022     9.83     0.00     2.49     0.01  32789.00  32989.54      4.5 
03:15:00 10/26/2022     9.83     0.00     2.37     0.04  32786.70  32990.57      4.5 
03:20:00 10/26/2022     9.83     0.00     2.42     0.03  32787.63  32988.43      4.5 
03:25:00 10/26/2022     9.83     0.00     2.45     0.03  32788.23  32988.40      4.5 
03:30:00 10/26/2022     9.83     0.00     2.38     0.02  32786.93  32993.54      4.5 
03:35:00 10/26/2022     9.83     0.00     3.07     0.62  32799.54  33125.33      4.5 
03:40:00 10/26/2022     9.87     0.01   208.43    99.11  36512.83  32918.20      4.5 
03:45:00 10/26/2022     9.84     0.01   417.87   122.03  39546.04  39160.37      4.5 
03:50:00 10/26/2022     9.88     0.01   381.35    46.74  39201.60  38937.23      4.5 
03:55:00 10/26/2022     9.85     0.01   391.73    60.24  39319.50  39009.54      4.5 
04:00:00 10/26/2022     9.95     0.02   546.22    91.03  41013.46  36225.46      4.5 
04:05:00 10/26/2022    10.07     0.03   563.50    76.74  41206.33  35273.04      4.5 
04:10:00 10/26/2022    10.12     0.03   552.22   114.55  41030.37  35627.93      4.5 
04:15:00 10/26/2022    10.12     0.03   504.81   153.29  40466.96  35085.33      4.5 
04:20:00 10/26/2022    10.18     0.02   524.30    85.20  40806.20  37825.10      4.5 
04:25:00 10/26/2022    10.15     0.03   519.56   165.38  40636.40  37585.67      4.5 
04:30:00 10/26/2022    10.17     0.03   468.78   142.65  40073.37  34200.20      4.5 
04:35:00 10/26/2022    10.17     0.04   403.95   182.70  39198.87  37178.83      4.5 
04:40:00 10/26/2022    10.12     0.04   538.00   168.76  40771.83  36734.63      4.5 
04:45:00 10/26/2022    10.22     0.03   410.75   201.29  39179.63  34496.40      4.5 
04:50:00 10/26/2022    10.20     0.03   491.23   239.98  40057.54  36413.40      4.5 
04:55:00 10/26/2022    10.19     0.05   415.08   175.61  39384.60  38530.37      4.5 
05:00:00 10/26/2022    10.17     0.03   505.54   184.24  40440.27  38909.50      4.5 
05:05:00 10/26/2022    10.16     0.03   408.21   201.07  39149.33  37141.77      4.5 
05:10:00 10/26/2022    10.17     0.04   443.22   160.42  39753.63  38639.30      4.5 
05:15:00 10/26/2022    10.16     0.04   382.26   189.21  38861.50  35680.96      4.5 
05:20:00 10/26/2022    10.18     0.03   385.44   145.65  39068.67  38723.80      4.5 
05:25:00 10/26/2022    10.16     0.04   487.32   188.39  40183.43  37197.30      4.5 
05:30:00 10/26/2022    10.15     0.02   480.82   189.43  40083.96  36466.63      4.5 
05:35:00 10/26/2022    10.17     0.03   406.94   200.15  39147.83  34278.43      4.5 
05:40:00 10/26/2022    10.12     0.02   449.22   146.74  39838.90  36799.63      4.5 
05:45:00 10/26/2022    10.11     0.02   340.16   166.22  38366.93  33924.33      4.5 
05:50:00 10/26/2022    10.11     0.02   380.07   132.72  39017.17  37985.33      4.5 
05:55:00 10/26/2022    10.07     0.02   557.34   173.11  40990.93  38333.83      4.5 
06:00:00 10/26/2022    10.10     0.03   503.86   108.51  40559.23  37278.43      4.5 
06:05:00 10/26/2022    10.09     0.03   588.75   126.21  41390.33  35293.60      4.5 
06:10:00 10/26/2022    10.11     0.02   515.12   128.94  40623.40  36646.96      4.5 
06:15:00 10/26/2022    10.05     0.02   462.97   143.45  40035.80  39739.90      4.5 
06:20:00 10/26/2022    10.03     0.02   364.53   113.92  38872.60  39558.10      4.5 
06:25:00 10/26/2022     9.99     0.02   441.86    56.33  39934.54  38864.57      4.5 
06:30:00 10/26/2022     9.92     0.02   361.26    58.29  38924.46  39319.70      4.5 
06:35:00 10/26/2022     9.91     0.02   438.85    51.63  39905.27  39032.67      4.5 
06:40:00 10/26/2022     9.89     0.02   302.71   102.85  38022.63  38459.40      4.5 
06:45:00 10/26/2022     9.84     0.01   444.62    94.34  39913.70  38477.57      4.5 
06:50:00 10/26/2022     9.84     0.01   505.63    67.23  40631.73  39178.00      4.5 
06:55:00 10/26/2022     9.83     0.00     8.42     2.02  32897.57  35208.13      4.5 
07:00:00 10/26/2022     9.83     0.00     2.84     0.10  32795.27  33069.70      4.5 
07:05:00 10/26/2022     9.83     0.00     2.57     0.03  32790.33  33015.50      4.5 
07:10:00 10/26/2022     9.84     0.00     2.57     0.03  32790.37  33017.20      4.5 
07:15:00 10/26/2022     9.84     0.00     2.58     0.03  32790.67  33019.46      4.5 
07:20:00 10/26/2022     9.84     0.00     2.55     0.02  32789.96  33017.54      4.5 
07:25:00 10/26/2022     9.84     0.00     2.55     0.01  32789.96  33019.60      4.5 
07:30:00 10/26/2022     9.84     0.00     2.59     0.06  32790.73  33025.60      4.5 
07:35:00 10/26/2022     9.84     0.00     2.62     0.03  32791.40  32774.77      4.5 
07:40:00 10/26/2022     9.84     0.00     2.71     0.03  32792.96  32774.73      4.5 
07:45:00 10/26/2022     9.84     0.00     2.81     0.03  32794.80  32774.73      4.5 
07:50:00 10/26/2022     9.84     0.00     2.85     0.15  32795.46  32774.93      4.5 
07:55:00 10/26/2022     9.84     0.00     2.92     0.03  32796.73  32774.90      4.5 
08:00:00 10/26/2022     9.84     0.00     2.88     0.05  32796.04  32775.00      4.5 
08:05:00 10/26/2022     9.84     0.00     2.93     0.04  32797.04  32774.80      4.5 
08:10:00 10/26/2022     9.84     0.00     2.97     0.04  32797.73  32775.04      4.5 
08:15:00 10/26/2022     9.84     0.00     2.99     0.04  32798.04  32775.04      4.5 
08:20:00 10/26/2022     9.84     0.00     2.98     0.03  32797.93  32774.93      4.5 
08:25:00 10/26/2022     9.84     0.00     3.04     0.05  32799.00  32775.20      4.5 
08:30:00 10/26/2022     9.84     0.00     3.09     0.03  32799.87  32775.27      4.5 
08:35:00 10/26/2022     9.84     0.00     3.10     0.24  32800.00  32775.07      4.5 
08:40:00 10/26/2022     9.84     0.00     2.51     1.33  32789.37  32780.40      4.5 
08:45:00 10/26/2022     9.84     0.00     3.13     0.04  32800.60  32775.10      4.5 
08:50:00 10/26/2022     9.83     0.00     3.14     0.06  32800.87  32775.04      4.5 
08:55:00 10/26/2022     9.83     0.00     3.11     0.07  32800.20  32775.10      4.5 
09:00:00 10/26/2022     9.83     0.00     0.47     1.16  32752.13  32797.70      4.5 
09:05:00 10/26/2022     9.83     0.00     0.00     0.02  32742.87  32802.04      4.5 
09:10:00 10/26/2022     9.83     0.00     0.00     0.02  32742.77  32801.96      4.5 
09:15:00 10/26/2022     9.83     0.00     0.00     0.03  32742.60  32801.83      4.5 
09:20:00 10/26/2022     9.83     0.00     0.00     0.02  32742.83  32801.73      4.5 
09:25:00 10/26/2022     9.82     0.00     0.00     0.02  32742.83  32801.90      4.5 
09:30:00 10/26/2022     9.82     0.00     0.00     0.02  32742.80  32802.13      4.5 
09:35:00 10/26/2022     9.82     0.00     0.00     0.02  32742.83  32802.10      4.4 
09:40:00 10/26/2022     9.82     0.00     0.00     0.01  32742.93  32802.10      4.4 
09:45:00 10/26/2022     9.81     0.00     0.00     0.02  32742.90  32801.96      4.4 
09:50:00 10/26/2022     9.81     0.00     0.00     0.02  32742.90  32802.04      4.4 
09:55:00 10/26/2022     9.81     0.00     0.00     0.01  32743.00  32802.07      4.4 
10:00:00 10/26/2022     9.81     0.00     0.00     0.01  32743.00  32802.13      4.4 
10:05:00 10/26/2022     9.81     0.00     3.12     0.03  32800.43  32775.43      4.4 
10:10:00 10/26/2022     9.82     0.00     3.19     0.08  32801.67  33023.27      4.5 
10:15:00 10/26/2022     9.83     0.00     3.11     0.04  32800.27  33019.33      4.5 
10:20:00 10/26/2022     9.83     0.00     3.08     0.03  32799.73  33021.77      4.4 
10:25:00 10/26/2022     9.83     0.00     3.05     0.04  32799.17  33020.54      4.5 
10:30:00 10/26/2022     9.84     0.00     3.09     0.02  32799.93  33022.43      4.4 
10:35:00 10/26/2022     9.84     0.00     3.07     0.05  32799.54  33027.60      4.4 
10:40:00 10/26/2022     9.84     0.00     3.06     0.04  32799.40  33029.00      4.4 
10:45:00 10/26/2022     9.84     0.00     3.07     0.03  32799.60  33027.60      4.4 
10:50:00 10/26/2022     9.84     0.00     3.05     0.03  32799.17  33030.67      4.4 
10:55:00 10/26/2022     9.84     0.00     3.06     0.03  32799.37  33028.93      4.4 
11:00:00 10/26/2022     9.84     0.00     3.06     0.03  32799.40  33032.33      4.4 
11:05:00 10/26/2022     9.84     0.00     3.04     0.18  32799.07  32774.93      4.4 
11:10:00 10/26/2022     9.84     0.00     3.03     0.03  32798.87  32775.00      4.4 
11:15:00 10/26/2022     9.84     0.00     3.05     0.05  32799.13  32774.87      4.4 
11:20:00 10/26/2022     9.84     0.00     2.41     1.25  32787.57  32780.27      4.4 
11:25:00 10/26/2022     9.84     0.00     0.00     0.03  32742.50  32801.67      4.4 
11:30:00 10/26/2022     9.84     0.00     0.00     0.03  32742.60  32801.73      4.4 
11:35:00 10/26/2022     9.84     0.00     0.00     0.02  32742.73  32801.83      4.4 
11:40:00 10/26/2022     9.84     0.00     0.00     0.02  32742.77  32801.83      4.4 
11:45:00 10/26/2022     9.84     0.00     0.00     0.02  32742.80  32801.77      4.4 
11:50:00 10/26/2022     9.83     0.00     0.00     0.03  32742.63  32802.00      4.4 
11:55:00 10/26/2022     9.83     0.00     0.00     0.02  32742.73  32801.87      4.4 
12:00:00 10/26/2022     9.83     0.00     0.00     0.02  32742.73  32801.77      4.4 
12:05:00 10/26/2022     9.83     0.00     0.00     0.02  32742.77  32801.80      4.4 
12:10:00 10/26/2022     9.83     0.00     0.00     0.03  32742.63  32801.77      4.4 
12:15:00 10/26/2022     9.82     0.00     0.00     0.02  32742.87  32801.90      4.4 
12:20:00 10/26/2022     9.82     0.00     0.00     0.02  32742.80  32801.90      4.4 
12:25:00 10/26/2022     9.82     0.00     0.00     0.02  32742.90  32802.00      4.4 
12:30:00 10/26/2022     9.82     0.00     0.00     0.02  32742.77  32801.70      4.4 
12:35:00 10/26/2022     9.82     0.00     0.00     0.02  32742.83  32801.93      4.4 
12:40:00 10/26/2022     9.82     0.00     0.00     0.02  32742.87  32802.04      4.4 
12:45:00 10/26/2022     9.81     0.00     0.00     0.02  32742.93  32802.00      4.4 
12:50:00 10/26/2022     9.81     0.00     0.00     0.02  32742.90  32802.10      4.4 
12:55:00 10/26/2022     9.81     0.00     0.00     0.02  32742.90  32802.04      4.4 
13:00:00 10/26/2022     9.81     0.00     0.00     0.02  32742.93  32802.04      4.4 
13:05:00 10/26/2022     9.81     0.00     0.00     0.02  32742.90  32802.00      4.4 
13:10:00 10/26/2022     9.81     0.00     0.00     0.01  32742.93  32802.07      4.4 
13:15:00 10/26/2022     9.81     0.00     0.00     0.02  32742.93  32802.13      4.4 
13:20:00 10/26/2022     9.81     0.00     0.00     0.01  32742.93  32802.17      4.4 
13:25:00 10/26/2022     9.80     0.00     0.00     0.02  32742.90  32802.13      4.4 
13:30:00 10/26/2022     9.80     0.00     0.00     0.02  32743.03  32802.17      4.4 
13:35:00 10/26/2022     9.80     0.00     0.00     0.02  32742.90  32802.00      4.4 
